scontrino_id,vendita_id,cassa_id,prodotto_id,quantità,prezzo_unitario,totale,giorno,ora,metodo_pagamento
3ea6f8bb-def1-4b5b-a7a8-4cabdb8c67db,fa12d2c3-0ee0-4649-9d25-d6dfbafecd3b,CASSA_01,1270,2,2.09,4.18,2026-01-31,09:43:12,contanti
3ea6f8bb-def1-4b5b-a7a8-4cabdb8c67db,0284649f-d340-47cf-902d-bd343ac9d92b,CASSA_01,2319,5,3.88,19.4,2026-01-31,09:43:13,contanti
3ea6f8bb-def1-4b5b-a7a8-4cabdb8c67db,95b55efc-ca1c-4a83-99b1-0c3f9fa26f6f,CASSA_01,4605,1,4.12,4.12,2026-01-31,09:43:14,contanti
3ea6f8bb-def1-4b5b-a7a8-4cabdb8c67db,64f3a397-804c-47f9-aa2c-49a738324822,CASSA_01,4118,2,2.15,4.3,2026-01-31,09:43:15,contanti
9247ec3b-28ab-4196-b773-00d2713aa48a,ddaab4ad-65b9-4b3d-a621-ca098045b950,CASSA_01,1846,4,2.28,9.12,2026-01-31,08:55:56,carta
9247ec3b-28ab-4196-b773-00d2713aa48a,0c7b8e44-526e-4530-9bf3-b52669534da0,CASSA_01,2395,2,10.42,20.84,2026-01-31,08:55:57,carta
9247ec3b-28ab-4196-b773-00d2713aa48a,ff52c345-76b8-47bd-b328-7382fee4336f,CASSA_01,141,4,10.69,42.76,2026-01-31,08:55:58,carta
9247ec3b-28ab-4196-b773-00d2713aa48a,ab61de4a-9254-4214-bced-660db75ddb83,CASSA_01,3971,5,8.09,40.45,2026-01-31,08:55:59,carta
9247ec3b-28ab-4196-b773-00d2713aa48a,c8a27536-5d37-472a-b3e4-67878aee87ab,CASSA_01,655,5,8.75,43.75,2026-01-31,08:56:00,carta
9247ec3b-28ab-4196-b773-00d2713aa48a,fc37b2ac-b1e5-4b22-a2f7-bf760f615fa6,CASSA_01,3730,5,0.58,2.9,2026-01-31,08:56:01,carta
9247ec3b-28ab-4196-b773-00d2713aa48a,a6b807fc-dfd6-4401-a906-55c839287a47,CASSA_01,2840,1,4.55,4.55,2026-01-31,08:56:02,carta
9247ec3b-28ab-4196-b773-00d2713aa48a,d3eb97a1-f0c5-457b-b651-74f4b7c72256,CASSA_01,2874,3,1.83,5.49,2026-01-31,08:56:03,carta
9247ec3b-28ab-4196-b773-00d2713aa48a,ed2fa339-8dec-4e07-a6da-9aad8bdee5c7,CASSA_01,4899,4,6.86,27.44,2026-01-31,08:56:04,carta
