Data;Ora_Offline;Ora_Online;Durata_Secondi
2026-02-01;08:15:46;08:17:03;77
2026-02-01;08:50:30;08:55:36;306
2026-02-01;09:03:38;09:06:29;171
2026-02-01;09:09:44;09:10:54;70
2026-02-01;09:24:29;09:26:45;136
2026-02-01;09:28:19;09:29:21;62
2026-02-01;09:33:20;09:34:57;97
2026-02-01;09:36:10;09:40:33;263
2026-02-01;09:40:52;09:41:44;52
2026-02-01;09:59:49;09:59:58;9
2026-02-01;10:01:01;10:01:17;16
2026-02-01;10:16:08;10:25:14;546
2026-02-01;10:33:02;10:33:09;7
2026-02-01;10:40:15;10:45:03;288
2026-02-01;10:47:21;10:47:55;34
2026-02-01;11:13:57;11:16:10;133
2026-02-01;11:18:20;11:19:51;91
2026-02-01;11:40:34;11:43:40;186
2026-02-01;11:50:26;11:52:27;121
2026-02-01;12:09:26;12:12:17;171
2026-02-01;12:13:05;12:13:45;40
2026-02-01;12:26:11;12:26:47;36
2026-02-01;12:29:37;12:30:09;32
2026-02-01;12:45:11;12:46:39;88
2026-02-01;12:49:25;12:50:22;57
2026-02-01;13:01:58;13:04:57;179
2026-02-01;13:05:41;13:19:49;848
2026-02-01;13:24:00;13:24:49;49
2026-02-01;13:31:31;13:32:21;50
2026-02-01;13:34:02;13:35:51;109
2026-02-01;13:41:02;13:41:15;13
2026-02-01;13:51:51;13:54:39;168
2026-02-01;13:57:26;14:02:12;286
2026-02-01;14:25:37;14:27:05;88
2026-02-01;14:43:50;14:44:11;21
2026-02-01;14:46:26;14:47:07;41
2026-02-01;14:50:23;14:51:33;70
2026-02-01;15:07:09;15:08:34;85
2026-02-01;15:19:04;15:25:27;383
2026-02-01;15:31:59;15:32:11;12
2026-02-01;15:35:32;15:38:25;173
2026-02-01;16:00:14;16:00:55;41
2026-02-01;16:04:40;16:06:12;92
2026-02-01;16:18:44;16:19:28;44
2026-02-01;16:19:48;16:20:52;64
2026-02-01;16:32:32;16:35:32;180
2026-02-01;16:35:41;16:41:10;329
2026-02-01;16:47:49;16:51:11;202
2026-02-01;17:12:07;17:14:05;118
2026-02-01;17:36:52;17:38:01;69
2026-02-01;17:40:09;17:41:09;60
2026-02-01;18:04:41;18:06:47;126
2026-02-01;18:19:22;18:21:42;140
2026-02-01;18:33:00;18:34:36;96
2026-02-01;18:36:02;18:38:28;146
2026-02-01;18:51:10;18:55:41;271
2026-02-01;19:15:10;19:18:52;222
2026-02-01;19:22:42;19:23:03;21
2026-02-01;19:39:38;19:40:27;49
2026-02-01;19:48:56;19:51:24;148
2026-02-01;19:52:39;20:01:00;501
2026-02-01;20:08:21;20:09:11;50
2026-02-01;20:34:31;20:36:11;100
2026-02-01;21:26:41;21:26:47;6
2026-02-01;21:30:03;21:32:02;119
2026-02-01;21:36:33;21:36:50;17
2026-02-01;21:40:32;21:43:24;172
2026-02-01;21:53:49;21:57:52;243
2026-02-01;22:05:34;22:08:21;167
2026-02-01;22:21:30;22:24:42;192
2026-02-01;22:30:59;22:33:55;176
2026-02-01;22:34:57;22:41:52;415
2026-02-01;22:52:06;22:52:38;32
2026-02-01;22:52:50;22:54:46;116
2026-02-01;22:56:30;22:56:48;18
2026-02-01;23:04:19;23:04:37;18
2026-02-01;23:55:08;23:57:33;145
2026-02-02;00:05:47;00:10:58;311
2026-02-02;00:11:09;00:18:48;459
2026-02-02;00:24:53;00:27:03;130
2026-02-02;00:41:15;00:41:30;15
2026-02-02;00:47:28;00:48:31;63
2026-02-02;01:10:15;01:11:34;79
2026-02-02;01:12:43;01:13:33;50
2026-02-02;01:17:32;01:19:36;124
2026-02-02;01:22:06;01:25:21;195
2026-02-02;01:51:45;01:54:55;190
2026-02-02;02:01:01;02:01:25;24
2026-02-02;02:51:22;02:53:15;113
2026-02-02;03:33:33;03:34:38;65
2026-02-02;03:43:55;03:45:47;112
2026-02-02;03:46:19;03:47:03;44
2026-02-02;04:04:52;04:14:19;567
2026-02-02;04:25:14;04:27:02;108
2026-02-02;04:30:22;04:31:28;66
2026-02-02;04:46:18;04:47:43;85
2026-02-02;04:59:01;05:05:11;370
2026-02-02;05:06:03;05:08:13;130
2026-02-02;05:11:58;05:22:47;649
2026-02-02;05:54:22;05:57:47;205
2026-02-02;06:04:20;06:12:55;515
2026-02-02;06:20:46;06:26:20;334
2026-02-02;06:29:46;06:30:45;59
2026-02-02;06:32:36;06:35:12;156
2026-02-02;06:36:08;06:39:02;174
2026-02-02;06:47:51;06:55:28;457
2026-02-02;06:57:24;06:57:36;12
2026-02-02;07:03:42;07:06:46;184
2026-02-02;07:09:20;07:14:15;295
2026-02-02;07:15:43;07:22:20;397
2026-02-02;07:32:35;07:33:36;61
2026-02-02;07:39:54;07:44:21;267
2026-02-02;07:56:35;07:59:36;181
2026-02-02;08:09:21;08:10:52;91
2026-02-02;08:14:21;08:15:55;94
2026-02-02;08:21:36;08:28:56;440
2026-02-02;08:31:32;08:33:35;123
2026-02-02;08:36:21;08:37:44;83
2026-02-02;08:42:32;08:42:45;13
2026-02-02;09:12:11;09:12:18;7
2026-02-02;09:13:26;09:14:15;49
2026-02-02;09:36:18;09:40:08;230
2026-02-02;09:42:27;09:45:14;167
2026-02-02;10:01:54;10:04:11;137
2026-02-02;10:25:54;10:27:17;83
2026-02-02;10:39:51;10:43:58;247
2026-02-02;10:49:12;10:50:13;61
2026-02-02;10:50:27;10:59:27;540
2026-02-02;11:01:55;11:03:10;75
