prodotto_id,codice_barre,nome,descrizione,categoria,prezzo_netto,iva_percento,prezzo_lordo,attivo,updated_at
1,8376712021631,Prodotto Igiene Convenienza 1,Prodotto Igiene Convenienza 1 - descrizione commerciale,Igiene,8.46,10,9.31,1,2026-01-13 09:25:01
2,8269292286222,Prodotto Bevande Premium 2,Prodotto Bevande Premium 2 - descrizione commerciale,Bevande,0.68,10,0.75,0,2026-01-31 09:25:01
3,8753046855333,Prodotto Surgelati Integrale 3,Prodotto Surgelati Integrale 3 - descrizione commerciale,Surgelati,2.25,10,2.48,1,2026-01-04 09:25:01
4,8972649342261,Prodotto Panetteria Convenienza 4,Prodotto Panetteria Convenienza 4 - descrizione commerciale,Panetteria,1.78,10,1.96,1,2026-01-29 09:25:01
5,8818932692514,Prodotto Latticini Classico 5,Prodotto Latticini Classico 5 - descrizione commerciale,Latticini,3.54,10,3.89,0,2026-01-04 09:25:01
6,8667747997360,Prodotto Alimentari Senza Zucchero 6,Prodotto Alimentari Senza Zucchero 6 - descrizione commerciale,Alimentari,2.87,10,3.16,1,2026-01-20 09:25:01
7,8269148220340,Prodotto Panetteria Integrale 7,Prodotto Panetteria Integrale 7 - descrizione commerciale,Panetteria,4.04,10,4.44,1,2026-01-23 09:25:01
8,8637103076632,Prodotto Igiene Formato Famiglia 8,Prodotto Igiene Formato Famiglia 8 - descrizione commerciale,Igiene,1.81,10,1.99,1,2026-01-03 09:25:01
9,8474558415244,Prodotto Latticini Tradizionale 9,Prodotto Latticini Tradizionale 9 - descrizione commerciale,Latticini,4.72,10,5.19,1,2026-01-04 09:25:01
10,8909007651311,Prodotto Casa Integrale 10,Prodotto Casa Integrale 10 - descrizione commerciale,Casa,4.43,10,4.87,1,2026-01-01 09:25:01
11,8573652811004,Prodotto Surgelati Formato Famiglia 11,Prodotto Surgelati Formato Famiglia 11 - descrizione commerciale,Surgelati,5.48,10,6.03,1,2026-01-22 09:25:01
12,8471159546794,Prodotto Panetteria Formato Famiglia 12,Prodotto Panetteria Formato Famiglia 12 - descrizione commerciale,Panetteria,2.57,10,2.83,1,2026-01-08 09:25:01
13,8503300479833,Prodotto Surgelati Premium 13,Prodotto Surgelati Premium 13 - descrizione commerciale,Surgelati,3.58,10,3.94,1,2026-01-18 09:25:01
14,8128079804176,Prodotto Panetteria Premium 14,Prodotto Panetteria Premium 14 - descrizione commerciale,Panetteria,2.98,10,3.28,1,2026-01-13 09:25:01
15,8341349434276,Prodotto Igiene Tradizionale 15,Prodotto Igiene Tradizionale 15 - descrizione commerciale,Igiene,6.24,10,6.86,1,2026-01-07 09:25:01
16,8962914142553,Prodotto Igiene Senza Zucchero 16,Prodotto Igiene Senza Zucchero 16 - descrizione commerciale,Igiene,8.76,10,9.64,1,2026-01-15 09:25:01
17,8663967455047,Prodotto Panetteria Convenienza 17,Prodotto Panetteria Convenienza 17 - descrizione commerciale,Panetteria,1.26,10,1.39,1,2026-01-07 09:25:01
18,8425817292075,Prodotto Igiene Convenienza 18,Prodotto Igiene Convenienza 18 - descrizione commerciale,Igiene,7.34,10,8.07,1,2026-01-01 09:25:01
19,8456863470841,Prodotto Casa Bio 19,Prodotto Casa Bio 19 - descrizione commerciale,Casa,7.84,10,8.62,1,2026-01-29 09:25:01
20,8320426946374,Prodotto Alimentari Integrale 20,Prodotto Alimentari Integrale 20 - descrizione commerciale,Alimentari,0.76,10,0.84,1,2026-01-13 09:25:01
21,8388460100393,Prodotto Alimentari Premium 21,Prodotto Alimentari Premium 21 - descrizione commerciale,Alimentari,3.79,10,4.17,1,2026-01-02 09:25:01
22,8141318604447,Prodotto Bevande Tradizionale 22,Prodotto Bevande Tradizionale 22 - descrizione commerciale,Bevande,2.95,10,3.25,1,2026-01-26 09:25:01
23,8257460064047,Prodotto Surgelati Formato Famiglia 23,Prodotto Surgelati Formato Famiglia 23 - descrizione commerciale,Surgelati,3.88,10,4.27,1,2026-01-11 09:25:01
24,8716938295033,Prodotto Latticini Classico 24,Prodotto Latticini Classico 24 - descrizione commerciale,Latticini,4.6,10,5.06,1,2026-01-20 09:25:01
25,8962311712023,Prodotto Bevande Convenienza 25,Prodotto Bevande Convenienza 25 - descrizione commerciale,Bevande,0.86,10,0.95,1,2026-01-26 09:25:01
26,8128571672282,Prodotto Igiene Premium 26,Prodotto Igiene Premium 26 - descrizione commerciale,Igiene,1.82,10,2.0,1,2026-01-14 09:25:01
27,8170762702806,Prodotto Alimentari Convenienza 27,Prodotto Alimentari Convenienza 27 - descrizione commerciale,Alimentari,4.14,10,4.55,1,2026-01-14 09:25:01
28,8488599877639,Prodotto Alimentari Convenienza 28,Prodotto Alimentari Convenienza 28 - descrizione commerciale,Alimentari,5.39,10,5.93,1,2026-01-13 09:25:01
29,8305595887095,Prodotto Alimentari Classico 29,Prodotto Alimentari Classico 29 - descrizione commerciale,Alimentari,5.25,10,5.78,1,2026-01-08 09:25:01
30,8981397328206,Prodotto Bevande Formato Famiglia 30,Prodotto Bevande Formato Famiglia 30 - descrizione commerciale,Bevande,2.89,10,3.18,1,2026-01-07 09:25:01
31,8825368721614,Prodotto Igiene Extra 31,Prodotto Igiene Extra 31 - descrizione commerciale,Igiene,6.08,10,6.69,1,2026-01-24 09:25:01
32,8213899945544,Prodotto Panetteria Tradizionale 32,Prodotto Panetteria Tradizionale 32 - descrizione commerciale,Panetteria,1.36,10,1.5,1,2026-01-24 09:25:01
33,8753848202330,Prodotto Panetteria Classico 33,Prodotto Panetteria Classico 33 - descrizione commerciale,Panetteria,1.9,10,2.09,1,2026-01-30 09:25:01
34,8672741367718,Prodotto Alimentari Premium 34,Prodotto Alimentari Premium 34 - descrizione commerciale,Alimentari,3.15,10,3.47,1,2026-01-23 09:25:01
35,8785612697490,Prodotto Panetteria Tradizionale 35,Prodotto Panetteria Tradizionale 35 - descrizione commerciale,Panetteria,3.9,10,4.29,1,2026-01-16 09:25:01
36,8811601406275,Prodotto Casa Formato Famiglia 36,Prodotto Casa Formato Famiglia 36 - descrizione commerciale,Casa,7.8,10,8.58,1,2026-01-26 09:25:01
37,8347483017700,Prodotto Igiene Premium 37,Prodotto Igiene Premium 37 - descrizione commerciale,Igiene,5.79,10,6.37,1,2026-01-11 09:25:01
38,8602220612110,Prodotto Bevande Formato Famiglia 38,Prodotto Bevande Formato Famiglia 38 - descrizione commerciale,Bevande,0.62,10,0.68,1,2026-01-29 09:25:01
39,8845936415731,Prodotto Alimentari Classico 39,Prodotto Alimentari Classico 39 - descrizione commerciale,Alimentari,5.81,10,6.39,1,2026-01-09 09:25:01
40,8828233427842,Prodotto Panetteria Formato Famiglia 40,Prodotto Panetteria Formato Famiglia 40 - descrizione commerciale,Panetteria,2.07,10,2.28,1,2026-01-06 09:25:01
41,8752915917943,Prodotto Casa Classico 41,Prodotto Casa Classico 41 - descrizione commerciale,Casa,9.91,10,10.9,1,2026-01-31 09:25:01
42,8420123480470,Prodotto Panetteria Senza Zucchero 42,Prodotto Panetteria Senza Zucchero 42 - descrizione commerciale,Panetteria,1.06,10,1.17,1,2026-01-09 09:25:01
43,8889422685195,Prodotto Casa Extra 43,Prodotto Casa Extra 43 - descrizione commerciale,Casa,3.19,10,3.51,1,2026-01-08 09:25:01
44,8600849454055,Prodotto Igiene Classico 44,Prodotto Igiene Classico 44 - descrizione commerciale,Igiene,2.43,10,2.67,1,2026-01-03 09:25:01
